Plot,Total,Dead,Ash,Buckthorn,Blackcherry,Boxelder,Americanelm,Redoak,Whiteoak,Redpine,Whitepine,Otherbroadleaf,Otherneedles,AGB,BA,DBH,Ht,CL,CW,C,C_sd,Cellulose,Cellulose_sd,Fiber,Fiber_sd,Lig,Lig_sd,LMA,LMA_sd,N,N_sd,NDVI,NDVI_sd,PRI,PRI_sd,NDWI,NDWI_sd,NDII,NDII_sd
DC77,31.60,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,13.59,17.19,0.41,0.00,127.96,35.43,28.99,18.93,10.18,7.32,49.77,0.50,17.77,1.44,42.29,3.47,25.35,2.50,177.65,14.67,1.68,0.20,0.87,0.02,-0.06,0.00,0.16,0.05,0.46,0.08
DC78,41.60,1.60,0.00,2.00,0.00,0.00,0.00,2.41,0.79,24.42,7.61,2.83,0.00,176.12,37.58,36.51,24.20,10.42,8.00,49.77,0.47,17.77,1.38,42.50,3.29,25.63,2.39,177.58,13.67,1.71,0.18,0.91,0.01,-0.04,0.01,0.20,0.01,0.55,0.01
DC84,33.60,1.20,0.00,0.00,0.40,0.00,0.00,1.21,0.40,0.00,26.41,4.00,0.00,154.61,36.90,37.05,23.25,9.85,8.00,49.72,0.32,17.26,0.92,41.72,2.19,25.36,1.54,147.21,8.99,1.83,0.10,0.90,0.01,-0.05,0.01,0.14,0.02,0.45,0.02
MV15,29.33,1.33,2.67,2.67,0.67,0.00,0.00,0.00,0.00,0.00,6.01,16.02,0.00,125.82,28.40,34.87,22.58,13.76,8.94,48.62,0.49,14.98,1.40,31.41,3.47,19.56,2.39,78.25,13.76,3.03,0.17,0.91,0.01,-0.03,0.01,0.17,0.01,0.48,0.01
MV16,30.67,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.35,13.31,4.66,179.18,39.42,50.56,29.74,20.46,3.86,49.48,0.37,16.11,1.08,38.78,2.56,23.89,1.86,139.78,10.75,2.18,0.13,0.87,0.00,-0.04,0.00,0.13,0.02,0.42,0.04
MV34,22.67,2.67,2.67,0.66,0.00,0.00,6.01,0.00,0.00,0.00,0.00,10.68,0.00,170.95,34.40,32.74,21.23,12.11,13.20,51.08,1.59,14.06,5.75,27.90,13.44,15.85,9.82,149.94,59.66,2.41,0.70,0.60,0.04,-0.03,0.00,0.05,0.01,0.24,0.01
MV35,15.33,2.00,0.66,0.00,0.66,0.00,0.66,0.00,0.00,0.00,0.00,11.33,0.00,262.07,18.60,50.61,22.84,20.42,15.03,50.37,1.57,15.92,5.53,26.39,12.85,16.51,8.99,141.33,59.05,2.36,0.68,0.67,0.10,-0.03,0.01,0.15,0.06,0.37,0.10
MV36,18.67,3.33,2.00,0.00,0.00,3.34,0.00,0.00,0.00,0.00,0.00,10.01,0.00,110.93,16.24,37.36,23.16,15.08,6.82,48.87,0.48,16.06,1.42,36.80,3.34,22.31,2.42,113.63,13.35,2.38,0.16,0.92,0.01,-0.05,0.01,0.16,0.02,0.48,0.03
MV39,26.00,1.33,0.00,5.33,2.00,0.00,0.00,12.01,1.33,0.00,0.00,4.00,0.00,146.08,33.71,34.20,22.29,12.75,11.13,49.20,0.39,15.39,1.20,34.22,2.98,20.76,2.08,99.10,12.19,2.74,0.15,0.91,0.00,-0.05,0.01,0.15,0.01,0.47,0.01
MV44,28.00,4.67,0.00,0.00,4.68,0.00,0.00,4.68,1.34,0.00,0.00,12.66,0.00,186.47,31.29,36.77,22.89,14.14,12.68,48.78,0.50,15.23,1.46,35.11,3.60,22.65,2.51,93.10,14.55,2.97,0.19,0.94,0.00,-0.05,0.01,0.16,0.00,0.47,0.01
MV45,20.67,1.33,0.00,1.34,3.33,0.00,0.00,2.67,0.00,0.00,0.00,11.99,0.00,136.80,23.38,37.15,23.17,15.00,10.70,48.74,0.55,15.43,1.61,35.25,3.98,23.40,2.86,84.59,15.69,3.04,0.20,0.94,0.00,-0.04,0.00,0.16,0.02,0.47,0.03
MV46,34.00,2.67,0.00,0.68,5.98,2.65,0.00,0.00,0.00,3.33,0.00,0.68,17.99,157.34,32.89,33.09,22.14,12.42,9.39,49.37,0.44,17.20,1.33,41.72,3.16,25.87,2.34,139.16,13.37,2.18,0.16,0.91,0.01,-0.06,0.01,0.15,0.03,0.45,0.05
MV47,35.33,2.00,0.00,4.66,10.00,0.00,0.00,0.00,0.00,18.66,0.00,0.00,0.00,159.85,34.07,36.18,23.59,12.93,8.76,49.22,0.55,16.91,1.63,39.49,3.94,25.73,2.95,128.12,16.11,2.31,0.20,0.91,0.00,-0.06,0.00,0.18,0.01,0.52,0.00
MV48,40.00,1.33,0.68,0.00,0.00,0.68,0.68,0.00,0.00,1.32,33.32,2.00,0.00,187.13,33.21,47.12,27.96,17.13,8.33,49.18,0.47,17.03,1.25,38.43,3.18,23.54,2.23,138.51,11.67,1.99,0.16,0.92,0.01,-0.04,0.01,0.20,0.01,0.54,0.00
